time;NSC_res;NSC_G;NSC_PC;Liver_res;Liver_G;Liver_PC;Liver_res2;Pancreas_res;Pancreas_G;Pancreas_PC;Beta_res;Beta_res2;Beta_G;Beta_PC;Alpha_res;Alpha_G;Alpha_PC;Surrenal_res;Surrenal_G;Surrenal_PC;Glucose;Glycogene;AcidesGras;AcidesAmines;AcetylCoA;Pyruvate;ATP;AMPK;Cortisol;Insulin;Glucagon
50.0;0.0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;49.0;3.8000000000000043;4.1999999999999975;115.0;1.5000000000000142;1.0;1016.5999999999995;0;0.0;2.681603089148828;11.082321512854621
51.0;0.0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;44.0;3.8000000000000043;2.5999999999999974;115.0;17.100000000000016;1.0;956.5999999999995;0;0.0;1.9865804290778326;11.914076807584273
52.0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;39.0;3.8000000000000043;0.9999999999999973;115.0;2.3000000000000185;1.0;1200.5999999999995;0;3.7040911034085893;1.4716949787105635;8.826165181659903
53.0;0.0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;44.0;3.8000000000000043;0.9999999999999973;110.0;2.3000000000000185;1.0;1120.5999999999995;0;2.744058180470132;1.0902584555145785;10.24267508872881
54.0;0.0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;49.0;3.8000000000000043;0.9999999999999973;105.0;2.3000000000000185;1.0;1040.5999999999995;0;2.0328482987029957;0.8076833290975078;11.292051437661623
55.0;1.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;54.0;3.8000000000000043;0.9999999999999973;100.0;2.3000000000000185;1.0;960.5999999999995;1;1.5059710595610105;0.5983465267363022;12.069448557303508
56.0;1.0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;73.0;8.600000000000005;1.2999999999999974;110.0;12.300000000000018;1.0;900.5999999999995;1;1.1156508007421493;0.4432660092878733;12.645358508239703
57.0;1.0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;75.0;1.600000000000005;1.2999999999999974;110.0;1.90000000000002;1.0;1044.5999999999995;0;0.8264944411079328;3.2916524190161995;9.367911989956559
58.0;1.0;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;70.0;1.600000000000005;1.2999999999999974;110.0;11.90000000000002;1.0;984.5999999999995;1;0.6122821412649097;5.401788970885125;6.939919891902549
59.0;1.0;1;0;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;64.0;2.600000000000005;2.0999999999999974;110.0;12.400000000000018;1.0;948.9999999999994;1;0.4535897664470626;6.965016576636118;5.141219105992906
60.0;1.0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;82.0;8.400000000000006;3.1999999999999975;120.0;12.900000000000018;1.0;913.3999999999994;1;0.3360275636987489;5.159811187322239;7.512799893645107
61.0;1.0;1;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;76.0;9.400000000000006;3.9999999999999973;120.0;13.400000000000018;1.0;877.7999999999994;1;0.24893534183931978;6.785755025572555;5.565619049547967
62.0;1.0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;70.0;10.400000000000006;4.799999999999997;120.0;13.900000000000018;1.0;842.1999999999994;1;0.1844158370062001;7.990283846753557;4.123112001278399
63.0;1.0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;64.0;11.400000000000006;5.599999999999997;120.0;11.50000000000002;1.0;835.5999999999993;1;0.13661861223646285;8.882620744820713;3.0544764964585003
64.0;1.0;1;1;0;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;58.0;12.400000000000006;6.399999999999997;120.0;9.100000000000021;1.0;828.9999999999993;1;0.10120955722902197;6.580407295168596;6.337312056969962
65.0;1.0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;1;52.0;13.400000000000006;7.199999999999997;120.0;6.700000000000022;1.0;822.3999999999993;1;0.07497788410238855;4.8748856237677956;8.769296455698733
66.0;1.0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;54.0;6.400000000000006;5.599999999999996;120.0;22.300000000000026;1.0;762.3999999999993;1;0.055544982691211546;3.6114040938265446;10.570954810690678
67.0;0.0;1;1;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;1;73.0;11.200000000000006;4.299999999999996;130.0;7.500000000000028;1.0;1006.3999999999992;0;0.0;2.6753939549512524;11.535247037171303
68.0;0.0;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;1;75.0;4.200000000000006;2.699999999999996;130.0;23.10000000000003;1.0;946.3999999999992;0;0.0;6.4268899134199176;8.545521185201302
69.0;0.0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;69.0;5.200000000000006;3.4999999999999964;130.0;20.70000000000003;1.0;939.7999999999992;0;0.0;9.20606647426733;6.330677799218754
70.0;0.0;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;63.0;6.200000000000006;4.299999999999996;130.0;18.300000000000033;1.0;933.1999999999991;0;0.0;11.264931109034647;4.689881462926491
71.0;0.0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;57.0;7.200000000000006;5.099999999999996;130.0;15.900000000000032;1.0;926.5999999999991;0;0.0;8.345266220297178;7.178440743981963
72.0;0.0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;51.0;8.200000000000006;5.899999999999996;130.0;13.500000000000034;1.0;919.9999999999991;0;0.0;6.182325272435801;9.022010802634453
73.0;0.0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;0;45.0;9.200000000000006;6.699999999999996;130.0;11.100000000000035;1.0;913.3999999999991;1;0.0;4.5799792080015065;10.387761093187482
74.0;0.0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;47.0;2.2000000000000064;5.099999999999996;130.0;26.70000000000004;1.0;853.3999999999991;1;0.0;3.3929320476309397;11.399533793330516
75.0;0.0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;42.0;2.2000000000000064;3.499999999999996;130.0;11.900000000000041;1.0;1097.3999999999992;0;0.0;2.5135458824199306;12.149073444784817
76.0;0.0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;37.0;2.2000000000000064;1.899999999999996;130.0;27.500000000000043;1.0;1037.3999999999992;0;1.8520455517042946;1.8620805882161915;9.000254972296997
77.0;0.0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;32.0;2.2000000000000064;0.2999999999999958;130.0;12.700000000000045;1.0;1281.3999999999992;0;3.224074641939361;1.3794632281282855;6.6675528742588455
78.0;0.0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;37.0;2.2000000000000064;0.2999999999999958;125.0;12.700000000000045;1.0;1201.3999999999992;0;6.0925443429951525;1.0219314941578552;4.939444656609711
79.0;1.0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;42.0;2.2000000000000064;0.2999999999999958;120.0;12.700000000000045;1.0;1121.3999999999992;0;4.513467859602135;0.7570654711606317;7.363321705074015
80.0;1.0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;71.0;7.000000000000007;0.5999999999999959;125.0;12.700000000000045;1.0;1041.3999999999992;1;3.343659228854575;0.5608478952847856;9.158973987268594
